ABW	AIRBRIDGE CARGO AIRLINES LTD	AIRBRIDGE CARGO	 
PLG	MBK-S, OPEN JOINT STOCK COMPANY	PILGRIM	 
PNH	PANH, JOINT-STOCK COMPANY	KUBAN LIK	 
POT	AIRCOMPANY POLET, CJSC	POLET	 
PPD	PODYOM LIMITED LIABILITY COMPANY	PODYOM	 
PPV	PETROPAVLOVSK, CJSC	PAVLOVSK	 
PSS	RKC PROGRESS, AIR COMPANY	PROGRESS	 
PSW	PSKOVAVIA	PSKOVAVIA	 
PTF	PETROFF AIR, LLC	PETROFF	 
PTK	PETROPAVLOVSK-KAMCHATSK AIR ENTERPRISE	PETROKAM	 
PZY	ZAPOLYARYE, AIRLINE COMPANY	ZAPOLYARYE	 
RCF	AEROFLOT-CARGO, CLOSED JOINT STOCK COMPANY	AEROFLOT CARGO	 
RCV	AIRCLUB AVIATOR, LLC	STRIMER	 
RFE	TULPAR AIRCOMPANY LIMITED TRADE DEVELOPMENT	RUSSIAN EXPRESS	 
RFF	RUSSIAN FEDERATION AIR FORCE	RUSSIAN AIRFORCE	 
RIF	FEDERAL SERVICE OF THE NATIONAL GUARD TROOPS OF THE RUSSIAN FEDERATION	INTERMIN AVIA	 
RKA	POLAR AIRLINES OPEN JOINT-STOCK COMPANY	AIR SAKHA	 
RLA	TARP AVIATION	ROLEMA	 
RLS	S-AIR, PRIVATE JOINT-STOCK AVIATION COMPANY	S-AIRLINES	 
RLU	RUSLINE	RUSLINE AIR	 
RNB	ROSNEFT-BALTIKA, JOINT-STOCK COMPANY	ROSBALT	 
RSD	SPECIAL DETACHMENT - RUSSIA, FEDERAL STATE BUDGET INSTITUTION	STATE AERO	 
RSJ	RUSJET, JOINT-STOCK COMPANY	RUSJET	 
RSY	I FLY LTD	RUSSIAN SKY	 
RUR	RUSSAIR AIRCOMPANY, CLOSED JOINT STOCK COMPANY	RUSSTAR	 
RUZ	ROSUERTOL	ROSTUERTOL	 
RVT	AIRLINE ROSTVERTOL-AVIA CJSC	ROSTVERTOL	 
RWZ	AIRLINES 400 JSC (RED WINGS AIRLINES)	AIR RED	 
RYZ	RYAZAN STATE AIR ENTERPRISE	RYAZAN AIR	 
SAY	AIR COMPANY "SKY GATES AIRLINES" LLC	SKY PATH	 
SBD	SIBIA LTD	SIBIA	 
SBI	SIBERIA AIRLINES	SIBERIAN AIRLINES	 
SDM	ROSSIYA AIRLINES, JOINT STOCK COMPANY	ROSSIYA	 
SHU	AURORA AIRLINES	AURORA	 
SMN	SIMARGL LTD, AIRCOMPANY	SIMAVIA	 
SOV	SARATOV AVIATION DIVISION	SARATOV AIR	 
SSF	SEVERSTAL, LTD AIRCOMPANY	SEVERSTAL	 
SSJ	KRASAVIA, JOINT-STOCK COMPANY	SIBERIAN SKY	 
STO	STREAMLINE OPS, CJSC	SLOPS	 
SUM	FEDERAL STATE BUDGET INSTITUTION AVIATION RESCUE COMPANY OF EMERCOM OF RUSSIA	SUMES	 
SVR	URAL AIRLINES	SVERDLOVSK AIR	 
SXR	SKY EXPRESS	SKYSTORM	 
SYL	AIRCOMPANY YAKUTIA, JOINT-STOCK COMPANY	AIR YAKUTIA	 
TGA	AVIASHELF	TAIGA	 
TIS	AVIATIS	AVIATIS	 
TMH	TVS JOINT-STOCK COMPANY	TIMERKHAN	 
TRH	TURUKHAN AIRLINES	TURUKHAN	 
TSO	TRANSAERO AIRLINES	TRANSOVIET	 
TTF	224TH FLIGHT UNIT	CARGO UNIT	 
TUL	TULPAR AIR	URSAL	 
TUM	UTAIR CLOSED JSC	UTAIR-CARGO	 
TUP	AVIASTAR-TU CO. LTD	TUPOLEVAIR	 
TYA	JOINT-STOCK COMPANY NORDSTAR AIRLINES	TAIMYR	 
UGP	SHAR INK LTD	SHARINK	 
UHS	ULYANOVSK HIGHER CIVIL AVIATION SCHOOL	PILOT AIR	 
UKT	UKTUS, AIRCOMPANY	UKTUS	 
UKU	SECOND SVERDLOVSK AIR ENTERPRISE	PYSHMA	 
UMS	UNITEMP-M, LIMITED LIABILITY INDUSTRIAL COMPANY	TOPAZ	 
URV	URAIAVIA	URAI	 
